parent,sku,price,override_price,preparation_days,weight,length,width,height,images,tags,defaultTags
68784,PMRA0BR02N,8490,7490,16,,,,,,,
68784,PMRA1BR02E,6990,5990,10,6.94,96.5,72,6,,,
68784,PMRA1BR02N,6490,5490,16,6.94,96.5,72,6,,,
68784,PMRA2BR02E,4590,4190,10,2.68,68,48.5,6,,,
68784,PMRA2BR02N,4190,3790,16,2.68,68,48.5,6,,,
68784,PMRA3BR02E,3390,2990,10,1.25,51.5,36,4,,,
68784,PMRA3BR02N,3090,2690,16,1.25,51.5,36,4,,,
68784,PMRSC03E,1890,,5,,,,,,,
68784,PMRSC03N,1690,,10,,,,,,,
68784,PMRSC02E,1590,,5,,,,,,,
68784,PMRSC02N,1390,,10,,,,,,,
68784,PMRSC06E,2790,,5,,,,,,,
68784,PMRSC06N,2590,,10,,,,,,,
68784,PMRSC05E,2490,,5,,,,,,,
68784,PMRSC05N,2290,,10,,,,,,,
68784,PMRSC04E,2190,,5,,,,,,,
68784,PMRSC04N,1990,,10,,,,,,,
68784,PMRA3BL02E,3190,2790,10,1.25,51.5,36,4,,,
68784,PMRA3BL02N,2890,2490,16,1.25,51.5,36,4,,,
68784,PMRA4BL02E,2490,2290,10,0.68,37,27.5,4,,,
68784,PMRA4BL02N,2190,1990,16,0.68,37,27.5,4,,,
68784,PMRA5BL02E,2140,2040,10,0.35,27.2,19.2,3.7,,,
68784,PMRA5BL02N,1890,1790,16,0.35,27.2,19.2,3.7,,,
68784,PMRA6BL02E,1840,1790,10,0.2,21.5,15.5,3,,,
68784,PMRA6BL02N,1590,1540,16,0.2,21.5,15.5,3,,,
68784,PMRA1BL03E,6890,5890,10,6.94,96.5,72,6,,,
68784,PMRA1BL03N,6390,5390,16,6.94,96.5,72,6,,,
68784,PMRA2BL03E,4590,4190,10,2.68,68,48.5,6,,,
68784,PMRA2BL03N,4190,3790,16,2.68,68,48.5,6,,,
68784,PMRA3BL03E,3490,3090,10,1.25,51.5,36,4,,,
68784,PMRA3BL03N,3190,2790,16,1.25,51.5,36,4,,,
68784,PMRA4BL03E,2790,2590,10,0.68,37,27.5,4,,,
68784,PMRA4BL03N,2490,2290,16,0.68,37,27.5,4,,,
68784,PMRA5BL03E,2440,2340,10,0.35,27.2,19.2,3.7,,,
68784,PMRA5BL03N,2190,2090,16,0.35,27.2,19.2,3.7,,,
